AA, LAX, ELP, 20200328, 0, 0, 114, 99
AA, LAX, ELP, 20200329, 0, 0, 114, 97
AA, LAX, ELP, 20200330, 0, 0, 114, 109
AA, LAX, ELP, 20200331, 0, 0, 114, 108
AA, LAX, ELP, 20200301, 0, 0, 114, 102
AA, LAX, ELP, 20200302, 0, 0, 114, 121
AA, LAX, ELP, 20200303, 0, 0, 114, 120
AA, LAX, ELP, 20200304, 0, 0, 114, 113
AA, LAX, ELP, 20200305, 0, 0, 114, 125
AA, LAX, ELP, 20200306, 0, 0, 114, 113
AA, LAX, ELP, 20200307, 0, 0, 114, 105
AA, LAX, ELP, 20200308, 0, 0, 114, 107
AA, LAX, ELP, 20200309, 0, 0, 114, 110
AA, LAX, ELP, 20200310, 0, 0, 114, 106
AA, LAX, ELP, 20200311, 0, 0, 114, 105
AA, LAX, ELP, 20200312, 0, 0, 114, 122
AA, LAX, ELP, 20200313, 0, 0, 114, 106
AA, LAX, ELP, 20200314, 0, 0, 114, 110
AA, LAX, ELP, 20200315, 0, 0, 114, 106
AA, LAX, ELP, 20200316, 0, 0, 114, 111
AA, LAX, ELP, 20200317, 0, 0, 114, 112
AA, LAX, ELP, 20200318, 0, 0, 114, 108
AA, LAX, ELP, 20200319, 0, 0, 114, 100
AA, LAX, ELP, 20200320, 0, 0, 114, 109
AA, LAX, ELP, 20200321, 0, 0, 114, 98
AA, LAX, ELP, 20200322, 0, 0, 114, 116
AA, LAX, ELP, 20200323, 0, 0, 114, 104
AA, LAX, ELP, 20200324, 0, 0, 114, 106
AA, LAX, ELP, 20200325, 0, 0, 114, 110
AA, LAX, ELP, 20200326, 0, 0, 114, 0
AA, LAX, ELP, 20200327, 0, 0, 114, 104
AA, LAX, ELP, 20200328, 0, 0, 114, 97
AA, LAX, ELP, 20200329, 0, 0, 114, 0
AA, LAX, ELP, 20200330, 0, 0, 114, 0
AA, LAX, ELP, 20200331, 0, 0, 114, 0
AA, LAX, ELP, 20200301, 0, 0, 118, 107
AA, LAX, ELP, 20200302, 0, 0, 118, 111
AA, LAX, ELP, 20200303, 0, 0, 118, 127
AA, LAX, ELP, 20200304, 0, 0, 118, 121
AA, LAX, ELP, 20200305, 0, 0, 119, 138
AA, LAX, ELP, 20200306, 0, 0, 119, 114
AA, LAX, ELP, 20200307, 0, 0, 119, 114
AA, LAX, ELP, 20200308, 0, 0, 119, 111
AA, LAX, ELP, 20200309, 0, 0, 119, 124
AA, LAX, ELP, 20200310, 0, 0, 119, 119
AA, LAX, ELP, 20200311, 0, 0, 119, 113
AA, LAX, ELP, 20200312, 0, 0, 119, 119
AA, LAX, ELP, 20200313, 0, 0, 119, 115
AA, LAX, ELP, 20200314, 0, 0, 119, 149
AA, LAX, ELP, 20200315, 0, 0, 119, 112
AA, LAX, ELP, 20200316, 0, 0, 119, 109
AA, LAX, ELP, 20200317, 0, 0, 119, 118
AA, LAX, ELP, 20200318, 0, 0, 119, 118
AA, LAX, ELP, 20200319, 0, 0, 119, 105
AA, LAX, ELP, 20200320, 0, 0, 119, 106
AA, LAX, ELP, 20200321, 0, 0, 119, 106
AA, LAX, ELP, 20200322, 0, 0, 119, 107
AA, LAX, ELP, 20200323, 0, 0, 119, 125
AA, LAX, ELP, 20200324, 0, 0, 119, 0
AA, LAX, ELP, 20200325, 0, 0, 119, 0
AA, LAX, ELP, 20200326, 0, 0, 119, 0
AA, LAX, ELP, 20200327, 0, 0, 119, 0
AA, LAX, ELP, 20200328, 0, 0, 119, 0
AA, LAX, ELP, 20200329, 0, 0, 119, 0
AA, LAX, ELP, 20200330, 0, 0, 119, 0
AA, LAX, ELP, 20200331, 0, 0, 119, 0
DL, ATL, ELP, 20200301, 0, 0, 213, 205
DL, ATL, ELP, 20200301, 0, 0, 212, 211
DL, ATL, ELP, 20200302, 0, 0, 213, 212
DL, ATL, ELP, 20200302, 0, 0, 212, 225
DL, ATL, ELP, 20200303, 0, 0, 213, 422
DL, ATL, ELP, 20200303, 0, 0, 212, 209
DL, ATL, ELP, 20200310, 0, 0, 213, 195
DL, ATL, ELP, 20200310, 0, 0, 212, 191
DL, ATL, ELP, 20200311, 0, 0, 213, 200
DL, ATL, ELP, 20200311, 0, 0, 212, 197
DL, ATL, ELP, 20200320, 0, 0, 203, 199
DL, ATL, ELP, 20200320, 0, 0, 209, 196
DL, ATL, ELP, 20200320, 0, 0, 208, 0
DL, ATL, ELP, 20200321, 0, 0, 199, 210
DL, ATL, ELP, 20200321, 0, 0, 212, 212
DL, ATL, ELP, 20200322, 0, 0, 203, 0
DL, ATL, ELP, 20200322, 0, 0, 209, 201
DL, ATL, ELP, 20200322, 0, 0, 208, 0
DL, ATL, ELP, 20200323, 0, 0, 203, 207
DL, ATL, ELP, 20200304, 0, 0, 213, 193
DL, ATL, ELP, 20200304, 0, 0, 212, 205
DL, ATL, ELP, 20200305, 0, 0, 213, 194
DL, ATL, ELP, 20200305, 0, 0, 212, 195
DL, ATL, ELP, 20200306, 0, 0, 213, 189
DL, ATL, ELP, 20200315, 0, 0, 209, 191
DL, ATL, ELP, 20200316, 0, 0, 203, 195
DL, ATL, ELP, 20200316, 0, 0, 209, 190
DL, ATL, ELP, 20200316, 0, 0, 208, 187
DL, ATL, ELP, 20200317, 0, 0, 203, 204
DL, ATL, ELP, 20200317, 0, 0, 209, 191
DL, ATL, ELP, 20200317, 0, 0, 208, 0
DL, ATL, ELP, 20200326, 0, 0, 208, 197
DL, ATL, ELP, 20200327, 0, 0, 203, 0
DL, ATL, ELP, 20200327, 0, 0, 208, 201
DL, ATL, ELP, 20200328, 0, 0, 199, 210
DL, ATL, ELP, 20200328, 0, 0, 212, 221
DL, ATL, ELP, 20200329, 0, 0, 203, 0
DL, ATL, ELP, 20200329, 0, 0, 208, 217
DL, ATL, ELP, 20200306, 0, 0, 212, 195
DL, ATL, ELP, 20200307, 0, 0, 214, 197
DL, ATL, ELP, 20200308, 0, 0, 213, 186
DL, ATL, ELP, 20200308, 0, 0, 212, 194
DL, ATL, ELP, 20200309, 0, 0, 213, 189
DL, ATL, ELP, 20200309, 0, 0, 212, 196
DL, ATL, ELP, 20200318, 0, 0, 203, 206
DL, ATL, ELP, 20200318, 0, 0, 209, 202
DL, ATL, ELP, 20200318, 0, 0, 208, 192
DL, ATL, ELP, 20200319, 0, 0, 203, 216
DL, ATL, ELP, 20200319, 0, 0, 209, 202
DL, ATL, ELP, 20200319, 0, 0, 208, 207
DL, ATL, ELP, 20200330, 0, 0, 203, 0
DL, ATL, ELP, 20200330, 0, 0, 208, 208
DL, ATL, ELP, 20200331, 0, 0, 203, 0
DL, ATL, ELP, 20200331, 0, 0, 208, 0
DL, ATL, ELP, 20200312, 0, 0, 209, 196
DL, ATL, ELP, 20200313, 0, 0, 209, 195
DL, ATL, ELP, 20200314, 0, 0, 212, 195
DL, ATL, ELP, 20200323, 0, 0, 209, 210
DL, ATL, ELP, 20200323, 0, 0, 208, 0
DL, ATL, ELP, 20200324, 0, 0, 203, 211
DL, ATL, ELP, 20200324, 0, 0, 209, 240
DL, ATL, ELP, 20200324, 0, 0, 208, 0
DL, ATL, ELP, 20200325, 0, 0, 203, 216
DL, ATL, ELP, 20200325, 0, 0, 208, 192
DL, ATL, ELP, 20200326, 0, 0, 203, 0
UA, IAH, ELP, 20200329, 0, 0, 129, 0
UA, IAH, ELP, 20200305, 0, 0, 129, 140
UA, IAH, ELP, 20200306, 0, 0, 129, 120
UA, IAH, ELP, 20200307, 0, 0, 129, 120
UA, IAH, ELP, 20200308, 0, 0, 129, 140
UA, IAH, ELP, 20200310, 0, 0, 129, 137
UA, IAH, ELP, 20200313, 0, 0, 129, 120
UA, IAH, ELP, 20200317, 0, 0, 129, 115
UA, IAH, ELP, 20200320, 0, 0, 129, 150
UA, IAH, ELP, 20200324, 0, 0, 129, 0
UA, IAH, ELP, 20200327, 0, 0, 129, 0
UA, IAH, ELP, 20200329, 0, 0, 129, 0
UA, IAH, ELP, 20200330, 0, 0, 129, 0
UA, IAH, ELP, 20200331, 0, 0, 129, 0
UA, IAH, ELP, 20200308, 0, 0, 129, 119
UA, IAH, ELP, 20200314, 0, 0, 129, 110
UA, IAH, ELP, 20200315, 0, 0, 129, 110
UA, IAH, ELP, 20200321, 0, 0, 129, 140
UA, IAH, ELP, 20200322, 0, 0, 129, 114
UA, IAH, ELP, 20200328, 0, 0, 129, 0
UA, IAH, ELP, 20200301, 0, 0, 143, 148
UA, IAH, ELP, 20200309, 0, 0, 129, 126
UA, IAH, ELP, 20200311, 0, 0, 129, 134
UA, IAH, ELP, 20200312, 0, 0, 129, 124
UA, IAH, ELP, 20200314, 0, 0, 129, 127
UA, IAH, ELP, 20200315, 0, 0, 129, 130
UA, IAH, ELP, 20200316, 0, 0, 129, 113
UA, IAH, ELP, 20200318, 0, 0, 129, 122
UA, IAH, ELP, 20200319, 0, 0, 129, 147
UA, IAH, ELP, 20200321, 0, 0, 129, 120
UA, IAH, ELP, 20200322, 0, 0, 129, 133
UA, IAH, ELP, 20200323, 0, 0, 129, 0
UA, IAH, ELP, 20200325, 0, 0, 129, 0
UA, IAH, ELP, 20200326, 0, 0, 129, 121
UA, IAH, ELP, 20200328, 0, 0, 129, 118
UA, IAH, ELP, 20200302, 0, 0, 130, 135
UA, IAH, ELP, 20200303, 0, 0, 130, 124
UA, IAH, ELP, 20200304, 0, 0, 130, 144
UA, ORD, ELP, 20200304, 0, 0, 205, 208
UA, ORD, ELP, 20200305, 0, 0, 205, 201
UA, ORD, ELP, 20200306, 0, 0, 205, 206
UA, ORD, ELP, 20200308, 0, 0, 205, 218
UA, ORD, ELP, 20200309, 0, 0, 205, 216
UA, ORD, ELP, 20200311, 0, 0, 205, 207
UA, ORD, ELP, 20200312, 0, 0, 205, 215
UA, ORD, ELP, 20200313, 0, 0, 205, 227
UA, ORD, ELP, 20200315, 0, 0, 205, 216
UA, ORD, ELP, 20200316, 0, 0, 205, 220
UA, ORD, ELP, 20200318, 0, 0, 205, 230
UA, ORD, ELP, 20200319, 0, 0, 205, 223
UA, ORD, ELP, 20200320, 0, 0, 205, 235
UA, ORD, ELP, 20200322, 0, 0, 205, 0
UA, ORD, ELP, 20200323, 0, 0, 205, 0
UA, ORD, ELP, 20200325, 0, 0, 205, 218
UA, ORD, ELP, 20200326, 0, 0, 205, 0
UA, ORD, ELP, 20200327, 0, 0, 205, 233
UA, ORD, ELP, 20200329, 0, 0, 205, 0
UA, ORD, ELP, 20200330, 0, 0, 205, 0
UA, ORD, ELP, 20200331, 0, 0, 205, 200
UA, IAH, ELP, 20200330, 0, 0, 129, 0
UA, IAH, ELP, 20200331, 0, 0, 129, 0
UA, IAH, ELP, 20200303, 0, 0, 143, 138
UA, IAH, ELP, 20200304, 0, 0, 143, 167
UA, IAH, ELP, 20200301, 0, 0, 136, 144
UA, IAH, ELP, 20200302, 0, 0, 136, 131
UA, IAH, ELP, 20200303, 0, 0, 136, 141
UA, IAH, ELP, 20200304, 0, 0, 136, 160
UA, IAH, ELP, 20200307, 0, 0, 129, 126
UA, IAH, ELP, 20200308, 0, 0, 129, 129
UA, IAH, ELP, 20200314, 0, 0, 129, 125
UA, IAH, ELP, 20200315, 0, 0, 129, 137
UA, IAH, ELP, 20200321, 0, 0, 129, 0
UA, IAH, ELP, 20200322, 0, 0, 129, 133
UA, IAH, ELP, 20200328, 0, 0, 129, 0
F9, DEN, ELP, 20200301, 0, 0, 111, 109
F9, DEN, ELP, 20200305, 0, 0, 111, 113
F9, DEN, ELP, 20200308, 0, 0, 111, 161
F9, DEN, ELP, 20200310, 0, 0, 110, 109
F9, DEN, ELP, 20200312, 0, 0, 110, 108
F9, DEN, ELP, 20200315, 0, 0, 110, 118
F9, DEN, ELP, 20200317, 0, 0, 110, 110
F9, DEN, ELP, 20200319, 0, 0, 110, 0
F9, DEN, ELP, 20200322, 0, 0, 110, 99
F9, DEN, ELP, 20200324, 0, 0, 110, 109
F9, DEN, ELP, 20200326, 0, 0, 110, 0
F9, DEN, ELP, 20200329, 0, 0, 110, 0
F9, DEN, ELP, 20200331, 0, 0, 110, 0
G4, LAS, ELP, 20200313, 0, 0, 98, 108
G4, LAS, ELP, 20200323, 0, 0, 98, 0
G4, LAS, ELP, 20200316, 0, 0, 98, 95
G4, LAS, ELP, 20200306, 0, 0, 98, 91
G4, LAS, ELP, 20200302, 0, 0, 98, 97
G4, LAS, ELP, 20200320, 0, 0, 98, 0
G4, LAS, ELP, 20200330, 0, 0, 98, 0
G4, LAS, ELP, 20200309, 0, 0, 98, 95
G4, LAS, ELP, 20200327, 0, 0, 98, 0
UA, ORD, ELP, 20200303, 0, 0, 212, 209
