WN, LAS, ELP, 20200715, 0, 0, 100, 95
WN, PHX, ELP, 20200715, 0, 0, 70, 64
WN, PHX, ELP, 20200715, 0, 0, 75, 65
WN, PHX, ELP, 20200715, 0, 0, 65, 67
WN, DAL, ELP, 20200716, 0, 0, 100, 91
WN, DAL, ELP, 20200716, 0, 0, 95, 93
WN, DAL, ELP, 20200716, 0, 0, 95, 86
WN, HOU, ELP, 20200716, 0, 0, 100, 97
WN, LAS, ELP, 20200716, 0, 0, 100, 96
WN, PHX, ELP, 20200716, 0, 0, 70, 65
WN, PHX, ELP, 20200716, 0, 0, 75, 64
WN, PHX, ELP, 20200716, 0, 0, 65, 65
WN, DAL, ELP, 20200717, 0, 0, 100, 93
WN, DAL, ELP, 20200717, 0, 0, 95, 86
WN, DAL, ELP, 20200717, 0, 0, 95, 94
WN, HOU, ELP, 20200717, 0, 0, 100, 114
WN, LAS, ELP, 20200717, 0, 0, 100, 101
WN, PHX, ELP, 20200717, 0, 0, 70, 63
WN, PHX, ELP, 20200717, 0, 0, 75, 71
WN, PHX, ELP, 20200717, 0, 0, 65, 64
WN, PHX, ELP, 20200726, 0, 0, 70, 61
WN, PHX, ELP, 20200726, 0, 0, 75, 68
WN, PHX, ELP, 20200726, 0, 0, 65, 60
WN, DAL, ELP, 20200727, 0, 0, 100, 85
WN, DAL, ELP, 20200727, 0, 0, 95, 90
WN, DAL, ELP, 20200727, 0, 0, 95, 88
WN, HOU, ELP, 20200727, 0, 0, 100, 98
WN, LAS, ELP, 20200727, 0, 0, 100, 95
WN, PHX, ELP, 20200727, 0, 0, 70, 62
WN, PHX, ELP, 20200727, 0, 0, 75, 63
WN, PHX, ELP, 20200727, 0, 0, 65, 68
WN, DAL, ELP, 20200728, 0, 0, 95, 85
WN, DAL, ELP, 20200728, 0, 0, 100, 88
WN, DAL, ELP, 20200728, 0, 0, 95, 86
WN, HOU, ELP, 20200728, 0, 0, 100, 97
WN, LAS, ELP, 20200728, 0, 0, 100, 91
WN, PHX, ELP, 20200728, 0, 0, 70, 66
WN, PHX, ELP, 20200728, 0, 0, 75, 63
WN, PHX, ELP, 20200728, 0, 0, 65, 67
WN, DAL, ELP, 20200729, 0, 0, 95, 88
WN, DAL, ELP, 20200729, 0, 0, 100, 90
WN, DAL, ELP, 20200729, 0, 0, 95, 89
WN, DAL, ELP, 20200707, 0, 0, 95, 95
WN, DAL, ELP, 20200707, 0, 0, 100, 92
WN, DAL, ELP, 20200707, 0, 0, 95, 90
WN, HOU, ELP, 20200707, 0, 0, 100, 103
WN, LAS, ELP, 20200707, 0, 0, 100, 92
WN, PHX, ELP, 20200707, 0, 0, 70, 60
WN, PHX, ELP, 20200707, 0, 0, 75, 60
WN, PHX, ELP, 20200707, 0, 0, 65, 70
WN, DAL, ELP, 20200708, 0, 0, 95, 91
WN, DAL, ELP, 20200708, 0, 0, 100, 94
WN, DAL, ELP, 20200708, 0, 0, 95, 88
WN, HOU, ELP, 20200708, 0, 0, 100, 101
WN, LAS, ELP, 20200708, 0, 0, 100, 92
WN, PHX, ELP, 20200708, 0, 0, 70, 61
WN, PHX, ELP, 20200708, 0, 0, 75, 62
WN, PHX, ELP, 20200708, 0, 0, 65, 61
WN, DAL, ELP, 20200709, 0, 0, 100, 91
WN, DAL, ELP, 20200709, 0, 0, 95, 84
WN, DAL, ELP, 20200709, 0, 0, 95, 86
WN, HOU, ELP, 20200709, 0, 0, 100, 99
WN, LAS, ELP, 20200709, 0, 0, 100, 91
WN, PHX, ELP, 20200709, 0, 0, 70, 61
WN, PHX, ELP, 20200709, 0, 0, 75, 65
WN, PHX, ELP, 20200709, 0, 0, 65, 66
WN, DAL, ELP, 20200718, 0, 0, 100, 84
WN, DAL, ELP, 20200718, 0, 0, 95, 91
WN, DAL, ELP, 20200718, 0, 0, 95, 88
WN, HOU, ELP, 20200718, 0, 0, 100, 102
WN, LAS, ELP, 20200718, 0, 0, 100, 105
WN, PHX, ELP, 20200718, 0, 0, 70, 66
WN, PHX, ELP, 20200718, 0, 0, 75, 64
WN, PHX, ELP, 20200718, 0, 0, 65, 68
WN, DAL, ELP, 20200719, 0, 0, 100, 87
WN, DAL, ELP, 20200719, 0, 0, 95, 88
WN, DAL, ELP, 20200719, 0, 0, 95, 89
WN, HOU, ELP, 20200719, 0, 0, 100, 113
WN, LAS, ELP, 20200719, 0, 0, 100, 88
WN, PHX, ELP, 20200719, 0, 0, 70, 64
WN, PHX, ELP, 20200719, 0, 0, 75, 62
WN, PHX, ELP, 20200719, 0, 0, 65, 65
WN, DAL, ELP, 20200720, 0, 0, 100, 87
WN, DAL, ELP, 20200720, 0, 0, 95, 88
WN, DAL, ELP, 20200720, 0, 0, 95, 90
WN, HOU, ELP, 20200720, 0, 0, 100, 138
WN, LAS, ELP, 20200720, 0, 0, 100, 96
WN, PHX, ELP, 20200720, 0, 0, 70, 64
WN, PHX, ELP, 20200720, 0, 0, 75, 67
WN, PHX, ELP, 20200720, 0, 0, 65, 65
WN, HOU, ELP, 20200729, 0, 0, 100, 94
WN, LAS, ELP, 20200729, 0, 0, 100, 93
WN, PHX, ELP, 20200729, 0, 0, 70, 61
WN, PHX, ELP, 20200729, 0, 0, 75, 64
WN, PHX, ELP, 20200729, 0, 0, 65, 63
WN, DAL, ELP, 20200730, 0, 0, 100, 91
WN, DAL, ELP, 20200730, 0, 0, 95, 88
WN, DAL, ELP, 20200730, 0, 0, 95, 92
WN, HOU, ELP, 20200730, 0, 0, 100, 96
WN, LAS, ELP, 20200730, 0, 0, 100, 89
WN, PHX, ELP, 20200730, 0, 0, 70, 64
WN, PHX, ELP, 20200730, 0, 0, 75, 68
WN, PHX, ELP, 20200730, 0, 0, 65, 61
WN, DAL, ELP, 20200731, 0, 0, 100, 93
WN, DAL, ELP, 20200731, 0, 0, 95, 95
WN, DAL, ELP, 20200731, 0, 0, 95, 94
WN, HOU, ELP, 20200731, 0, 0, 100, 105
WN, LAS, ELP, 20200731, 0, 0, 100, 96
WN, PHX, ELP, 20200731, 0, 0, 70, 71
WN, PHX, ELP, 20200731, 0, 0, 75, 61
WN, PHX, ELP, 20200731, 0, 0, 65, 61
WN, DAL, ELP, 20200710, 0, 0, 100, 88
WN, DAL, ELP, 20200710, 0, 0, 95, 87
WN, DAL, ELP, 20200710, 0, 0, 95, 89
WN, HOU, ELP, 20200710, 0, 0, 100, 98
WN, LAS, ELP, 20200710, 0, 0, 100, 98
WN, PHX, ELP, 20200710, 0, 0, 70, 61
WN, PHX, ELP, 20200710, 0, 0, 75, 65
WN, PHX, ELP, 20200710, 0, 0, 65, 63
WN, DAL, ELP, 20200711, 0, 0, 100, 90
WN, DAL, ELP, 20200711, 0, 0, 95, 94
WN, DAL, ELP, 20200711, 0, 0, 95, 96
WN, HOU, ELP, 20200711, 0, 0, 100, 104
WN, LAS, ELP, 20200711, 0, 0, 100, 93
WN, PHX, ELP, 20200711, 0, 0, 70, 67
WN, PHX, ELP, 20200711, 0, 0, 75, 63
WN, PHX, ELP, 20200711, 0, 0, 65, 62
WN, DAL, ELP, 20200712, 0, 0, 100, 86
WN, DAL, ELP, 20200712, 0, 0, 95, 90
WN, DAL, ELP, 20200712, 0, 0, 95, 89
WN, HOU, ELP, 20200712, 0, 0, 100, 100
WN, LAS, ELP, 20200712, 0, 0, 100, 92
WN, DAL, ELP, 20200721, 0, 0, 95, 86
WN, DAL, ELP, 20200721, 0, 0, 100, 86
WN, DAL, ELP, 20200721, 0, 0, 95, 85
WN, HOU, ELP, 20200721, 0, 0, 100, 98
WN, LAS, ELP, 20200721, 0, 0, 100, 92
WN, PHX, ELP, 20200721, 0, 0, 70, 59
WN, PHX, ELP, 20200721, 0, 0, 75, 62
WN, PHX, ELP, 20200721, 0, 0, 65, 62
UA, IAH, ELP, 20200730, 0, 0, 107, 110
UA, IAH, ELP, 20200703, 0, 0, 108, 107
UA, IAH, ELP, 20200715, 0, 0, 112, 117
UA, IAH, ELP, 20200731, 0, 0, 112, 111
UA, IAH, ELP, 20200701, 0, 0, 108, 111
UA, IAH, ELP, 20200725, 0, 0, 107, 114
UA, IAH, ELP, 20200717, 0, 0, 107, 104
UA, IAH, ELP, 20200719, 0, 0, 112, 116
UA, IAH, ELP, 20200711, 0, 0, 112, 101
UA, IAH, ELP, 20200703, 0, 0, 112, 102
UA, IAH, ELP, 20200715, 0, 0, 107, 104
UA, IAH, ELP, 20200705, 0, 0, 108, 108
UA, IAH, ELP, 20200723, 0, 0, 112, 103
UA, IAH, ELP, 20200722, 0, 0, 107, 101
UA, IAH, ELP, 20200731, 0, 0, 107, 114
UA, IAH, ELP, 20200701, 0, 0, 112, 109
UA, IAH, ELP, 20200708, 0, 0, 112, 106
UA, IAH, ELP, 20200725, 0, 0, 112, 96
