AS, ELP, SEA,20200704,0,0,229,221
AS, ELP, SEA,20200705,0,0,229,211
AS, ELP, SEA,20200706,0,0,229,207
AS, ELP, SEA,20200707,0,0,229,222
AS, ELP, SEA,20200708,0,0,229,217
AS, ELP, SEA,20200709,0,0,229,207
AS, ELP, SEA,20200710,0,0,229,214
AS, ELP, SEA,20200711,0,0,229,210
AS, ELP, SEA,20200712,0,0,229,205
AS, ELP, SEA,20200713,0,0,229,211
AS, ELP, SEA,20200714,0,0,229,206
AS, ELP, SEA,20200715,0,0,229,220
AS, ELP, SEA,20200716,0,0,229,241
AS, ELP, SEA,20200717,0,0,229,216
AS, ELP, SEA,20200718,0,0,229,222
AS, ELP, SEA,20200719,0,0,229,206
AS, ELP, SEA,20200720,0,0,229,217
AS, ELP, SEA,20200721,0,0,229,214
AS, ELP, SEA,20200722,0,0,229,244
AS, ELP, SEA,20200723,0,0,229,200
AS, ELP, SEA,20200724,0,0,229,207
AS, ELP, SEA,20200725,0,0,229,193
AS, ELP, SEA,20200726,0,0,229,198
AS, ELP, SEA,20200727,0,0,229,194
AS, ELP, SEA,20200728,0,0,229,206
AS, ELP, SEA,20200729,0,0,229,214
AS, ELP, SEA,20200730,0,0,229,211
AS, ELP, SEA,20200731,0,0,229,211
WN, ELP, DAL,20200722,0,0,110,101
WN, ELP, DAL,20200722,0,0,105,95
WN, ELP, DAL,20200722,0,0,105,101
WN, ELP, HOU,20200722,0,0,110,104
WN, ELP, LAS,20200722,0,0,105,102
WN, ELP, PHX,20200722,0,0,80,65
WN, ELP, PHX,20200722,0,0,80,68
WN, ELP, PHX,20200722,0,0,80,71
WN, ELP, DAL,20200723,0,0,110,98
WN, ELP, DAL,20200723,0,0,105,98
WN, ELP, DAL,20200723,0,0,105,102
WN, ELP, HOU,20200723,0,0,110,108
WN, ELP, LAS,20200723,0,0,105,100
WN, ELP, PHX,20200723,0,0,80,74
WN, ELP, PHX,20200723,0,0,80,79
WN, ELP, PHX,20200723,0,0,80,68
WN, ELP, DAL,20200701,0,0,110,102
WN, ELP, DAL,20200701,0,0,105,98
WN, ELP, DAL,20200701,0,0,105,87
WN, ELP, DAL,20200701,0,0,105,88
WN, ELP, LAS,20200701,0,0,105,96
WN, ELP, PHX,20200701,0,0,80,64
WN, ELP, PHX,20200701,0,0,80,70
WN, ELP, PHX,20200701,0,0,80,72
WN, ELP, DAL,20200702,0,0,110,101
WN, ELP, DAL,20200702,0,0,105,102
WN, ELP, DAL,20200702,0,0,105,98
WN, ELP, DAL,20200702,0,0,105,96
WN, ELP, LAS,20200702,0,0,105,98
WN, ELP, PHX,20200702,0,0,80,72
WN, ELP, PHX,20200702,0,0,80,70
WN, ELP, PHX,20200702,0,0,80,71
WN, ELP, DAL,20200703,0,0,110,103
WN, ELP, DAL,20200703,0,0,105,96
WN, ELP, DAL,20200703,0,0,105,98
WN, ELP, DAL,20200703,0,0,110,97
WN, ELP, DAL,20200703,0,0,105,103
WN, ELP, LAS,20200703,0,0,105,93
WN, ELP, PHX,20200703,0,0,80,70
WN, ELP, PHX,20200703,0,0,80,69
WN, ELP, PHX,20200703,0,0,80,70
WN, ELP, DAL,20200713,0,0,110,95
WN, ELP, DAL,20200713,0,0,105,95
WN, ELP, DAL,20200713,0,0,105,98
WN, ELP, HOU,20200713,0,0,110,109
WN, ELP, LAS,20200713,0,0,105,94
WN, ELP, PHX,20200713,0,0,80,69
WN, ELP, PHX,20200713,0,0,80,68
WN, ELP, PHX,20200713,0,0,80,67
WN, ELP, DAL,20200714,0,0,110,97
WN, ELP, DAL,20200714,0,0,105,100
WN, ELP, DAL,20200714,0,0,105,90
WN, ELP, HOU,20200714,0,0,110,117
WN, ELP, LAS,20200714,0,0,105,98
WN, ELP, PHX,20200714,0,0,80,77
WN, ELP, PHX,20200714,0,0,80,73
WN, ELP, PHX,20200714,0,0,80,70
WN, ELP, DAL,20200715,0,0,110,97
WN, ELP, DAL,20200715,0,0,105,101
WN, ELP, DAL,20200715,0,0,105,97
WN, ELP, HOU,20200715,0,0,110,107
WN, ELP, LAS,20200715,0,0,105,100
WN, ELP, PHX,20200715,0,0,80,71
WN, ELP, PHX,20200715,0,0,80,70
WN, ELP, PHX,20200715,0,0,80,68
WN, ELP, DAL,20200724,0,0,110,100
WN, ELP, DAL,20200724,0,0,105,124
WN, ELP, DAL,20200724,0,0,105,103
WN, ELP, HOU,20200724,0,0,110,108
WN, ELP, LAS,20200724,0,0,105,96
WN, ELP, PHX,20200724,0,0,80,72
WN, ELP, PHX,20200724,0,0,80,76
WN, ELP, PHX,20200724,0,0,80,64
WN, ELP, DAL,20200725,0,0,110,99
WN, ELP, DAL,20200725,0,0,105,98
WN, ELP, DAL,20200725,0,0,105,93
WN, ELP, HOU,20200725,0,0,110,112
WN, ELP, LAS,20200725,0,0,105,88
WN, ELP, PHX,20200725,0,0,80,72
WN, ELP, PHX,20200725,0,0,80,69
WN, ELP, PHX,20200725,0,0,80,72
WN, ELP, DAL,20200726,0,0,110,95
WN, ELP, DAL,20200726,0,0,105,94
WN, ELP, DAL,20200726,0,0,105,100
WN, ELP, HOU,20200726,0,0,110,110
WN, ELP, LAS,20200726,0,0,105,96
WN, ELP, PHX,20200726,0,0,80,68
WN, ELP, PHX,20200726,0,0,80,67
WN, ELP, PHX,20200726,0,0,80,72
WN, ELP, DAL,20200704,0,0,105,97
WN, ELP, DAL,20200704,0,0,105,93
WN, ELP, LAS,20200704,0,0,105,97
WN, ELP, PHX,20200704,0,0,80,68
WN, ELP, PHX,20200704,0,0,80,67
WN, ELP, PHX,20200704,0,0,80,71
WN, ELP, DAL,20200705,0,0,110,92
WN, ELP, DAL,20200705,0,0,105,114
WN, ELP, DAL,20200705,0,0,105,92
WN, ELP, HOU,20200705,0,0,110,108
WN, ELP, LAS,20200705,0,0,105,93
WN, ELP, PHX,20200705,0,0,80,73
WN, ELP, PHX,20200705,0,0,80,73
WN, ELP, PHX,20200705,0,0,80,68
WN, ELP, DAL,20200706,0,0,110,95
WN, ELP, DAL,20200706,0,0,105,102
WN, ELP, DAL,20200706,0,0,105,93
WN, ELP, HOU,20200706,0,0,110,111
WN, ELP, LAS,20200706,0,0,105,98
WN, ELP, PHX,20200706,0,0,80,86
WN, ELP, PHX,20200706,0,0,80,72
WN, ELP, PHX,20200706,0,0,80,71
WN, ELP, DAL,20200716,0,0,110,101
WN, ELP, DAL,20200716,0,0,105,95
WN, ELP, DAL,20200716,0,0,105,95
WN, ELP, HOU,20200716,0,0,110,107
WN, ELP, LAS,20200716,0,0,105,99
WN, ELP, PHX,20200716,0,0,80,63
WN, ELP, PHX,20200716,0,0,80,69
WN, ELP, PHX,20200716,0,0,80,67
WN, ELP, DAL,20200717,0,0,110,107
WN, ELP, DAL,20200717,0,0,105,94
WN, ELP, DAL,20200717,0,0,105,103
WN, ELP, HOU,20200717,0,0,110,106
WN, ELP, LAS,20200717,0,0,105,97
WN, ELP, PHX,20200717,0,0,80,70
WN, ELP, PHX,20200717,0,0,80,75
WN, ELP, PHX,20200717,0,0,80,70
WN, ELP, DAL,20200727,0,0,110,97
WN, ELP, DAL,20200727,0,0,105,97
WN, ELP, DAL,20200727,0,0,105,100
WN, ELP, HOU,20200727,0,0,110,104
WN, ELP, LAS,20200727,0,0,105,96
WN, ELP, PHX,20200727,0,0,80,70
WN, ELP, PHX,20200727,0,0,80,77
WN, ELP, PHX,20200727,0,0,80,73
WN, ELP, DAL,20200728,0,0,110,96
WN, ELP, DAL,20200728,0,0,105,105
WN, ELP, DAL,20200728,0,0,105,91
WN, ELP, HOU,20200728,0,0,110,112
WN, ELP, LAS,20200728,0,0,105,96
WN, ELP, PHX,20200728,0,0,80,71
WN, ELP, PHX,20200728,0,0,80,66
