UA, ELP, DEN, 20200316, 0, 0, 119, 99
UA, ELP, DEN, 20200315, 0, 0, 117, 108
UA, ELP, DEN, 20200314, 0, 0, 117, 102
UA, ELP, DEN, 20200313, 0, 0, 117, 121
UA, ELP, DEN, 20200313, 0, 0, 119, 111
UA, ELP, DEN, 20200312, 0, 0, 117, 112
UA, ELP, DEN, 20200312, 0, 0, 119, 112
UA, ELP, DEN, 20200311, 0, 0, 119, 97
UA, ELP, DEN, 20200311, 0, 0, 117, 112
UA, ELP, DEN, 20200310, 0, 0, 117, 121
UA, ELP, DEN, 20200310, 0, 0, 119, 113
UA, ELP, DEN, 20200309, 0, 0, 117, 122
UA, ELP, DEN, 20200309, 0, 0, 119, 97
UA, ELP, DEN, 20200308, 0, 0, 117, 106
UA, ELP, DEN, 20200307, 0, 0, 119, 111
UA, ELP, DEN, 20200307, 0, 0, 117, 116
AA, ELP, LAX, 20200301, 0, 0, 143, 160
AA, ELP, LAX, 20200302, 0, 0, 143, 142
AA, ELP, LAX, 20200303, 0, 0, 143, 145
AA, ELP, LAX, 20200304, 0, 0, 143, 150
AA, ELP, LAX, 20200305, 0, 0, 147, 140
AA, ELP, LAX, 20200306, 0, 0, 147, 140
AA, ELP, LAX, 20200307, 0, 0, 147, 139
AA, ELP, LAX, 20200308, 0, 0, 147, 173
AA, ELP, LAX, 20200309, 0, 0, 147, 145
AA, ELP, LAX, 20200310, 0, 0, 147, 145
AA, ELP, LAX, 20200311, 0, 0, 147, 153
AA, ELP, LAX, 20200312, 0, 0, 147, 138
AA, ELP, LAX, 20200313, 0, 0, 147, 130
AA, ELP, LAX, 20200314, 0, 0, 147, 126
AA, ELP, LAX, 20200315, 0, 0, 147, 162
AA, ELP, LAX, 20200316, 0, 0, 147, 127
AA, ELP, LAX, 20200317, 0, 0, 147, 134
AA, ELP, LAX, 20200318, 0, 0, 147, 135
AA, ELP, LAX, 20200319, 0, 0, 147, 127
AA, ELP, LAX, 20200320, 0, 0, 147, 152
